"","Dataset","Trait","Model","Accuracy","Kappa","Sensitivity","Specificity","F1"
"86","Maize_AL","Y","Augmented_TH",0.200833333333333,0,1,0,0.334489402697495
"87","Maize_AL","Y","Conventional",0.799166666666667,0,0,1,0
"88","Maize_AL","Y","Conventional_TH",0.200833333333333,0,1,0,0.334489402697495
"89","Wheat_1_AL","GY","Augmented",0.424317712938402,0.0850650500759754,0.85,0.318002392344498,0.370714023425146
"90","Wheat_1_AL","GY","Augmented_TH",0.677948717948718,0.216172713699535,0.573076923076923,0.704131394920869,0.415757306314908
"91","Wheat_1_AL","GY","Conventional",0.805891541408783,0.0553707119894012,0.0384615384615385,0.997443565206723,0.0723452109086004
"92","Wheat_1_AL","GY","Conventional_TH",0.643301896060517,0.189834576609494,0.608974358974359,0.651857134093976,0.405734891356133
"93","Wheat_2_AL","GY","Augmented",0.366387107125731,0.0359836141024467,0.822368421052632,0.252246031746032,0.341783452577313
"94","Wheat_2_AL","GY","Augmented_TH",0.600864692965851,0.0542338563768945,0.431140350877193,0.643452380952381,0.299422699496541
"95","Wheat_2_AL","GY","Conventional",0.800052515440946,0.00565371024734988,0.00357142857142858,1,0.0350877192982456
"96","Wheat_2_AL","GY","Conventional_TH",0.635712915589496,0.18026264878231,0.608040935672515,0.642620370370371,0.400541982128319
"97","Wheat_3_AL","GY","Augmented",0.372030506910116,0.0497678133579917,0.85062656641604,0.25222619047619,0.351597851960248
"98","Wheat_3_AL","GY","Augmented_TH",0.588729605872788,0.0479873237123923,0.437593984962406,0.626571428571429,0.298815550621482
"99","Wheat_3_AL","GY","Conventional",0.79933822972666,0,0,1,0
"100","Wheat_3_AL","GY","Conventional_TH",0.609349346967277,0.148143383196017,0.602610693400167,0.611093915343915,0.381044863261649
"101","Wheat_4_AL","GY","Augmented",0.378264031374179,0.054463359467685,0.852337662337662,0.25945945945946,0.354358517032994
"102","Wheat_4_AL","GY","Augmented_TH",0.602295924992858,0.0662401253082316,0.445779220779221,0.641441441441442,0.310113874480049
"103","Wheat_4_AL","GY","Conventional",0.799238154602672,0.0143096157407663,0.0131818181818182,0.996096096096096,0.0613970038184077
"104","Wheat_4_AL","GY","Conventional_TH",0.64841008059978,0.204517642621079,0.631623376623377,0.652552552552553,0.416811848632047
"105","Wheat_5_AL","GY","Augmented",0.37700204813108,0.0493125151366964,0.839285714285714,0.261230781550288,0.350579279585002
"106","Wheat_5_AL","GY","Augmented_TH",0.578676395289299,0.0590513331476063,0.478571428571429,0.603747597693786,0.312842787485836
"107","Wheat_5_AL","GY","Conventional",0.805677590032429,0.0559144221381252,0.0380952380952381,0.99791399743754,0.0725542670234908
"108","Wheat_5_AL","GY","Conventional_TH",0.681921829663765,0.241782070301972,0.619047619047619,0.697648409139441,0.437862284878928
"109","Wheat_6_AL","GY","Augmented",0.48863660639353,0.153213692946187,0.902262443438914,0.384916307986609,0.414762506067552
"110","Wheat_6_AL","GY","Augmented_TH",0.690635538261997,0.254933420759455,0.620889894419306,0.708106169296987,0.446128487463665
"111","Wheat_6_AL","GY","Conventional",0.801876859693294,0.148423831483466,0.142106586224233,0.967702853499123,0.219286722133022
"112","Wheat_6_AL","GY","Conventional_TH",0.728334477759976,0.335295479188656,0.689844142785319,0.738028056751156,0.504306623300078
